Density,ASCII Number,Character
0,32, 
0,95,_
0,96,`
1,44,","
1,46,.
2,45,-
2,58,:
2,59,;
3,39,'
5,42,*
5,47,/
5,92,\
5,126,~
6,34,""""
6,60,<
6,62,>
6,94,^
6,105,i
6,106,j
7,33,!
7,40,(
7,41,)
7,114,r
8,61,=
8,73,I
8,108,l
9,43,+
9,63,?
9,102,f
9,121,y
9,123,{
9,124,|
9,125,}
10,49,1
10,91,[
10,93,]
10,116,t
10,118,v
10,120,x
11,74,J
12,55,7
12,76,L
12,84,T
12,99,c
12,115,s
12,122,z
13,50,2
13,89,Y
14,70,F
14,97,a
14,110,n
14,111,o
14,117,u
15,35,#
15,51,3
15,86,V
15,107,k
16,52,4
16,53,5
16,65,A
16,67,C
16,83,S
16,88,X
16,90,Z
16,101,e
16,103,g
16,104,h
16,112,p
16,113,q
17,75,K
17,80,P
17,85,U
18,37,%
18,48,0
18,54,6
18,57,9
18,69,E
18,79,O
18,98,b
18,100,d
19,36,$
19,56,8
19,71,G
19,81,Q
19,82,R
20,68,D
20,72,H
20,109,m
20,119,w
21,38,&
22,66,B
24,78,N
27,87,W
28,64,@
28,77,M
